id,text,stanza_UAS,stanza_LAS,stanza_ClauseSpanF1,gpt-4o_dependency_UAS,gpt-4o_dependency_LAS,gpt-4o_dependency_ClauseSpanF1,claude-3-haiku-20240307_dependency_UAS,claude-3-haiku-20240307_dependency_LAS,claude-3-haiku-20240307_dependency_ClauseSpanF1,gpt-4o_rewrite_best_f1_score,gpt-4o_rewrite_avg_f1_score,claude-3-haiku-20240307_rewrite_best_f1_score,claude-3-haiku-20240307_rewrite_avg_f1_score
train-s10,그러나 성적에 맞추어 적정하게 지원한 수험생들이나 소신지원한 수험생은 현재 모두 떨어진 상태로 있다.,0.9285714285714286,0.35714285714285715,0.2222222222222222,0.07142857142857142,0.0,0.5555555555555555,0.0,0.0,0.0,0.7333333333333334,0.593939393939394,0.5714285714285713,0.4470046082949308
train-s1000,첫번째로 꿀벌에 의해 주로 다른 나무로 전염된다.,0.875,0.5,0.0,0.14285714285714285,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.6153846153846153,0.5076923076923077,0.7142857142857143,0.5
train-s1002,"이들은 월 평균 215만6천920원의 임금을 받고 있으며, 이 가운데 연장수당이 차지하는 비중은 38만7천66원으로 나타났다.",0.625,0.25,0.0,0.1875,0.0625,0.1111111111111111,0.0,0.0,0.0,0.42857142857142855,0.3392857142857143,0.5925925925925927,0.49629629629629635
train-s1003,졸업 후 국제 사면 위원회에서 임시 직원으로 일하면서 틈틈이 글을 썼다.,0.25,0.25,0.5454545454545454,0.0,0.0,0.4,0.0,0.0,0.0,0.8695652173913043,0.8633540372670807,0.6666666666666666,0.6363636363636364
train-s1005,송파구 잠실 주공5단지 112㎡는 지난해 말 11억8천만~11억9천만 원까지 올랐으나 연초 11억5천 만원으로 3천만~4천 만원 하락한 이후 보합세를 보이고 있다.,0.3181818181818182,0.18181818181818182,0.4666666666666667,0.09523809523809523,0.0,0.7307692307692306,0.0,0.0,0.0,0.5714285714285715,0.538375350140056,0.5454545454545454,0.45826605826605826
train-s1006,"그러나 삼 사십 분 넘게 기다려야 하고, 발 디딜 틈이 없어서 점원이 손님을 발로 밀면서 서빙을 합니다.",0.7368421052631579,0.42105263157894735,0.07407407407407407,0.15789473684210525,0.05263157894736842,0.2828282828282828,0.0,0.0,0.0,1.0,0.8888888888888888,0.6875000000000001,0.5112666034155599
train-s1009,"충남 서산의 명망 있는 집안에서 태어나, 한일 병합 조약 체결 전까지 상업에 종사했던 인물이었다.",0.625,0.3125,0.6904761904761904,0.2,0.06666666666666667,0.30256410256410254,0.0,0.0,0.0,0.896551724137931,0.8620689655172414,0.8275862068965518,0.7804597701149425
train-s1011,알고 보니 사실과 다르다.,0.4,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.125,0.22222222222222224,0.22222222222222224
train-s1015,대기시간이 길었던 것만 빼면 잘 다녀온 것 같아요,0.625,0.25,0.8571428571428571,0.25,0.125,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.39999999999999997,0.2731707317073171
train-s1017,"F 귀금속의 김 사장은 ""금값이 서서히 오르거나 내리면 소비자들이 가격에 이미 적응을 하기 때문에 거래에 큰 영향을 주지 않지만 갑작스런 가격변화는 부담된다""며 ""특히 지금처럼 큰 폭으로 계속해서 오르는 현상이 가장 문제""라고 전했다.",0.3684210526315789,0.18421052631578946,0.14652014652014653,0.15384615384615385,0.02564102564102564,0.1996153846153846,0.0,0.0,0.0,0.819672131147541,0.7809339141967382,0.7,0.5386524033034461
